Date,Parcours,Palier,Séance,Objectif,Rituel,Vocabulaire,Lecture,Écriture,Pratique autonome,Jeu,Notes
2025-10-04,Parcours 1,4,7,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes an, en, am, em, ian.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : chanteur, ambulance, boulanger, trembler, dentiste, viande, manger, musicien.",Les élèves lisent des mots contenant les graphèmes complexes et des phrases simples en groupe.,Les élèves écrivent sur ardoise les mots dictés et les phrases après démonstration.,"Les élèves réalisent les activités du livret p.32, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots, lisent les mots piochés et répètent en écho.",Vérifier la compréhension des élèves tout au long de la séance.
2025-10-04,Parcours 1,4,8,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont bien participé, mais quelques difficultés ont été observées avec certains graphèmes."
2025-10-04,Parcours 1,4,9,"Amener les élèves à comprendre et utiliser les graphèmes complexes : ill, ail, eil, euil, ouil à travers des mots courants.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités dans leur livret, lisent à voix basse en binômes et échangent les rôles.",Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.,"Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la reconnaissance des graphèmes."
"2025-10-06","Parcours 1","4","10","Amener les élèves à rebrasser et valider leurs acquis du palier 4 à travers des activités de lecture et de vocabulaire.","Les élèves réalisent une dictée flash de mots avec des graphèmes complexes et corrigent collectivement sur ardoise.","Les élèves observent des images et écrivent les mots correspondants : lion, famille, fenêtre, étagère.","Les élèves passent au tableau pour lire les mots présentés sur les diapositives, chacun participant au moins une fois.","Les élèves écrivent les mots observés sur leurs ardoises et corrigent en groupe.","Les élèves travaillent sur les activités de révision en binômes ou individuellement, en utilisant les livrets de français.","Les élèves participent à un jeu de rebrassage où ils doivent nommer les mots des images présentées.","Vérifier la compréhension des consignes et encourager la participation active de tous les élèves."
"2025-10-10","Parcours 1","2","1","Amener les élèves à lire et écrire des syllabes et mots simples avec les lettres p, q, qu, t, k, x.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : quatre, taxi, poule, karaté, tapis.","Les élèves lisent des syllabes et mots simples contenant les lettres qu, x, p, k.","Les élèves écrivent sur ardoise les mots et syllabes étudiés après démonstration au tableau.","Les élèves complètent les activités du livret et échangent les rôles en binômes.","Les élèves participent à un jeu de lecture au tableau, où ils doivent lire des mots ou syllabes.","Vérifier la compréhension des élèves tout au long de la séance."
"2025-10-10","Parcours 1","2","1","Amener les élèves à lire et écrire des syllabes et mots simples avec les lettres p, q, qu, t, k, x.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : quatre, taxi, poule, karaté, tapis.","Les élèves lisent des syllabes et mots simples contenant les lettres qu, x, p, k.","Les élèves écrivent sur ardoise les mots et syllabes étudiés après démonstration au tableau.","Les élèves complètent les activités du livret p.21 et échangent les rôles en binômes.","Les élèves participent à un jeu de lecture où ils doivent lire des mots et syllabes au tableau.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des syllabes."
"2025-10-10","Parcours 1","3","1","Amener les élèves à reconnaître et utiliser le vocabulaire courant à travers des mots simples tels que sel, chef, vert, carotte, pomme, persil, marmite et verser.","Les élèves commencent par une dictée flash de mots simples, suivie d'une correction collective sur ardoise.","Les élèves découvrent et répètent les mots de vocabulaire : sel, chef, vert, carotte, pomme, persil, marmite, verser.","Les élèves lisent des syllabes et des mots simples en utilisant les sons des lettres, en se concentrant sur la prononciation correcte.","Les élèves écrivent sur ardoise les mots dictés et corrigent ensemble après chaque écriture.","Les élèves réalisent les activités des pages 20 et 21, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des syllabes, où ils lisent et présentent des lettres et syllabes à leurs camarades.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la prononciation des syllabes."
"2025-10-10","Parcours 1","3","1","Amener les élèves à reconnaître et utiliser le vocabulaire courant : sel, chef, vert, carotte, pomme, persil, marmite, verser.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : sel, chef, vert, carotte, pomme, persil, marmite, verser.","Les élèves lisent des syllabes et des mots simples en CVC et double C, tels que sel, chef, vert, carotte, pomme.","Les élèves écrivent sur ardoise les mots dictés et corrigent ensemble.","Les élèves complètent les activités du livret p.20, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des syllabes, lisent les lettres et syllabes tirées et les présentent à la classe.","Vérifier la compréhension des consignes et encourager la participation active."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités dans leur livret, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés et les corrigent ensemble.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots étudiés.","Les élèves participent au jeu du panier, où ils lisent des mots avec les graphèmes complexes et les répètent.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités dans leur livret, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes, où ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration au tableau.","Les élèves réalisent les activités du livret p.34, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots étudiés après une démonstration au tableau.","Les élèves complètent les activités du livret p.34, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent les activités du livret p.34, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont bien participé, mais quelques difficultés ont été observées avec certains graphèmes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés après une démonstration au tableau.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots étudiés.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la reconnaissance des graphèmes."
